caseid,gend_gendobs,finance_finpast,libcpre_self,divgov_splitgov,ineq_incgap,effic_carestd,effic_saystd,effic_complicrev,guarpr_self,trustgov_trustgrev,relig_pray,dem_birthyr,dem_marital,zipcode
1332,2,3,4,2,1,3,3,NA,1,NA,1,1975,4,22901
6038,-999,2,6,1,1,NA,NA,3,7,4,1,1955,4,22901
649,2,3,5,2,1,1,2,NA,1,NA,2,1939,3,22901
1189,2,1,4,1,1,5,4,NA,4,NA,1,1958,5,22901
1262,2,2,4,1,1,2,4,NA,5,NA,1,1962,2,22901
6256,-999,2,4,2,1,1,4,NA,4,NA,1,1956,6,22901
1408,2,1,5,2,1,3,1,NA,5,NA,4,1980,1,22901
6116,-999,1,4,1,3,NA,NA,2,1,3,1,1963,4,22901
1051,2,3,NA,2,1,NA,NA,2,1,3,5,1947,4,22901
6168,-999,1,5,2,1,NA,NA,4,4,3,2,1951,1,22901
829,1,2,5,2,3,4,4,NA,5,NA,5,1940,4,22901
5524,-999,1,5,1,3,3,3,NA,5,NA,3,1978,1,22901
3837,-999,1,6,2,1,2,2,NA,6,NA,3,1936,6,22901
1640,2,2,NA,1,NA,2,4,NA,1,NA,3,1982,6,22901
1485,1,3,4,NA,1,3,3,NA,NA,NA,5,1926,3,22901
6673,-999,1,4,2,1,2,4,NA,3,NA,1,1965,1,22901
4987,-999,2,4,3,1,NA,NA,3,3,1,4,1954,4,22901
4012,-999,2,6,1,3,2,3,NA,6,NA,3,1930,3,22901
1809,1,1,NA,2,1,NA,NA,4,1,5,1,1983,6,22901
6260,-999,1,6,3,1,NA,NA,3,3,2,5,1953,1,98168
1813,1,1,5,3,3,NA,NA,1,5,5,1,1986,1,98168
4597,-999,2,6,3,1,NA,NA,1,NA,5,2,1947,3,98168
433,2,3,NA,3,NA,1,1,NA,1,NA,1,1922,3,98168
522,2,1,5,2,1,NA,NA,4,2,2,1,1959,5,98168
1643,2,2,6,2,1,NA,NA,3,6,3,1,1979,1,98168
1764,2,3,4,1,1,2,4,NA,7,NA,4,1959,3,98168
361,2,1,4,NA,NA,1,3,NA,NA,NA,1,1942,3,98168
5282,-999,2,5,2,3,NA,NA,3,6,4,3,1972,1,98168
5840,-999,1,6,3,3,NA,NA,4,NA,4,1,1946,1,98168
3075,-999,1,3,1,1,NA,NA,4,1,4,5,1941,1,98168
4086,-999,1,4,1,1,NA,NA,3,3,3,4,1961,1,98168
133,2,1,3,1,1,2,4,NA,4,NA,2,1965,4,98168
1204,1,1,6,2,1,1,1,NA,4,NA,3,1982,5,98168
3944,-999,1,4,1,1,2,2,NA,2,NA,1,1935,1,98168
3643,-999,1,4,2,1,4,3,NA,7,NA,1,1950,1,98168
5752,-999,1,3,2,3,NA,NA,4,4,4,4,1992,6,98168
6244,-999,1,4,2,1,3,3,NA,4,NA,3,1989,6,98168
211,2,1,5,2,3,NA,NA,5,6,4,1,1977,2,98168
1383,2,1,2,2,1,NA,NA,5,2,4,3,1986,6,98168
6154,-999,1,4,1,1,2,1,NA,1,NA,3,1989,1,98168
677,2,2,4,2,1,NA,NA,4,5,3,2,1982,4,98168
1755,2,1,3,2,1,1,2,NA,4,NA,1,1942,4,19050
3962,-999,2,6,1,1,3,4,NA,7,NA,1,1954,1,19050
6318,-999,1,4,3,3,3,3,NA,2,NA,5,1979,1,19050
