"","date","mean_daily_sentiment","total_tweets","total_tweets_incl_retweets"
"1",2017-10-01,0.0801922737224307,17,17
"2",2017-10-02,0.000443512650312521,11,32
"3",2017-10-03,0.097600679246806,9,9
"4",2017-10-04,0.0561236681406255,12,12
"5",2017-10-05,0.083129849106678,14,14
"6",2017-10-06,0.0865313155873246,15,15
"7",2017-10-07,0.0689433816505612,12,12
"8",2017-10-08,-0.067846237384606,7,7
"9",2017-10-09,0.141917423878159,21,22
"10",2017-10-10,0.0549074988061269,47,61
"11",2017-10-11,0.0382013886810045,17,18
"12",2017-10-12,0.016312570393925,17,17
"13",2017-10-13,0.059529710840455,14,14
"14",2017-10-14,0.0646453295949316,12,13
"15",2017-10-15,-0.0642210320066464,4847,5552
"16",2017-10-16,-0.0377970826909618,90006,93843
"17",2017-10-17,-0.0180259193185379,51672,53449
"18",2017-10-18,-0.00790197355217438,24674,27227
"19",2017-10-19,-0.00286314502856377,16182,22359
"20",2017-10-20,0.00850591379667043,10606,11396
"21",2017-10-21,0.00124901986704132,6335,6494
"22",2017-10-22,0.000807059465786388,5721,6308
"23",2017-10-23,-0.00128660298760277,5886,8432
"24",2017-10-24,-0.000498179441390653,4868,5034
"25",2017-10-25,-0.0085045918816003,4855,5929
"26",2017-10-26,-0.00212506144773231,4477,4730
"27",2017-10-27,-0.0109619764943037,4282,4836
"28",2017-10-28,-0.0157235130079323,3333,3473
"29",2017-10-29,-0.00936479192705156,2903,3651
"30",2017-10-30,0.00648266971332039,4241,4630
"31",2017-10-31,-0.00360378106667171,2862,3018
"32",2017-11-01,-0.0219984824029038,3048,3135
"33",2017-11-02,-0.0103116382447709,3413,3822
"34",2017-11-03,-0.00809169777244667,2900,3108
"35",2017-11-04,0.000883930299866104,2461,2556
"36",2017-11-05,-0.0119381079278377,2405,2738
"37",2017-11-06,0.000629726775780994,2116,2288
"38",2017-11-07,-0.0101001409042361,2213,2285
"39",2017-11-08,-0.00424648771485441,2602,3903
"40",2017-11-09,-0.00726476674399856,4201,4357
"41",2017-11-10,-0.0153996496475203,6788,7272
"42",2017-11-11,-0.00814457801249439,5401,6443
"43",2017-11-12,-0.011678924289656,3946,4508
"44",2017-11-13,-0.0241503188769998,5488,6517
"45",2017-11-14,-0.00638561222917968,4549,4725
"46",2017-11-15,-0.00694530145470311,3428,3580
"47",2017-11-16,-0.0199145898410886,5191,5885
"48",2017-11-17,-0.0356817180130417,5805,6027
"49",2017-11-18,-0.0212697254677621,4021,4593
"50",2017-11-19,-0.0140227046881215,3451,3525
"51",2017-11-20,-0.0291251063024896,3959,4195
"52",2017-11-21,-0.0225611738498793,5803,9148
"53",2017-11-22,-0.0229464630699547,4968,5642
"54",2017-11-23,0.00468581778185326,2803,3078
"55",2017-11-24,-0.00893159882403783,3014,3172
"56",2017-11-25,-0.00758301175767717,3971,4288
"57",2017-11-26,-0.0170729971244061,3246,4671
"58",2017-11-27,-0.00666248104238269,3319,3554
"59",2017-11-28,-0.0178550775217432,3190,3665
"60",2017-11-29,-0.0256847289133879,5269,5420
"61",2017-11-30,-0.0255058530366902,5537,6225
"62",2017-12-01,-0.0126432175053659,3485,3776
"63",2017-12-02,-0.0167968653686281,2044,2242
"64",2017-12-03,-0.00747954773927946,1912,2228
"65",2017-12-04,0.00137800638618295,4134,4383
"66",2017-12-05,-0.00773261956611342,4740,5911
"67",2017-12-06,0.0337744200321018,21421,24710
"68",2017-12-07,5.98399112684335e-05,13888,15166
"69",2017-12-08,-0.0109996918325095,8562,9056
"70",2017-12-09,-0.0127256037414976,5235,5747
"71",2017-12-10,-0.00695762239585639,4408,4992
"72",2017-12-11,-0.0228390977036195,6773,11792
"73",2017-12-12,-0.0377761081269782,9323,10594
"74",2017-12-13,0.0126734526161333,8639,8950
"75",2017-12-14,-0.019684975425894,6962,8565
"76",2017-12-15,-0.0159558065352976,5763,6411
"77",2017-12-16,-0.00818333850600681,5295,5836
"78",2017-12-17,-0.00942875036568868,4706,4838
"79",2017-12-18,-0.0156796495487861,4709,5385
"80",2017-12-19,0.00567332830486649,5299,5532
"81",2017-12-20,0.0120194803033594,5118,6186
"82",2017-12-21,0.0012821489604296,4690,9834
"83",2017-12-22,-0.000405423390231363,3831,4503
"84",2017-12-23,-0.0154515318839214,3232,4688
"85",2017-12-24,6.9701233979354e-05,2400,3453
"86",2017-12-25,0.011257650424053,1640,1992
"87",2017-12-26,0.0123019168518909,2196,2318
"88",2017-12-27,-0.00406207818390259,3030,4684
"89",2017-12-28,-0.00576767438762494,2813,3399
"90",2017-12-29,-0.0175094038886658,2310,2744
"91",2017-12-30,-0.00510029856725411,1770,2007
"92",2017-12-31,0.0184708323395845,1986,2284
"93",2018-01-01,0.0234523052747156,2229,4156
"94",2018-01-02,0.00866986320926474,2970,4057
"95",2018-01-03,0.0117492385554548,3208,4802
"96",2018-01-04,0.00600174542542116,2704,3386
"97",2018-01-05,0.00292247336706018,3249,4348
"98",2018-01-06,0.00822954540535234,2885,3464
"99",2018-01-07,0.0373351711858438,4100,4860
"100",2018-01-08,0.0912064298619782,20212,23728
"101",2018-01-09,0.021955352602605,8787,12477
"102",2018-01-10,-0.00849304545491879,9329,11974
"103",2018-01-11,-0.00957331095658325,7561,8850
"104",2018-01-12,-0.00798876419828401,6031,10648
"105",2018-01-13,-0.0200187247120476,5490,7033
"106",2018-01-14,-0.0179042305998343,7000,7987
"107",2018-01-15,-0.0138546745710778,7416,9548
"108",2018-01-16,-0.00296913029797802,10461,12914
"109",2018-01-17,0.00544207351618105,9283,10693
"110",2018-01-18,-0.00236786595730867,8508,10899
"111",2018-01-19,0.00792964082180229,7177,8479
